timestamp,fecha,mes,dia_semana,dia_semana_num,hora,turno,AT_1,AT_2,FI_1,FI_2,FI_3,R_1,R_2,R_3,E_1,E_2,E_3,E_4,score_tangibles,score_fiabilidad,score_responsiveness,score_empatia,score_servqual_total,D_1,satisfaccion_nivel,NPS,nps_categoria,C_1,calidad_nivel,INFO,info_nivel,AÑOS,antiguedad_grupo,Giro,Puesto,Estado,Estado_limpio,region,poblacion_millones,pib_per_capita_miles,nivel_economico_estado,lat,long,region_simplificada,Giro_corto
2025-04-14 09:39:34,2025-04-14,4,Monday,0,9,Mañana,3,4,2,2,1.0,2,1,1,1,2,4,2,3.5,1.67,1.33,2.25,2.19,8,Alto,8,Pasivo,2,Deficiente,6,Parcialmente informado,2,Nuevo,Teletón (Grupos internos de la Fundación),Asistente,Tamaulipas,Tamaulipas,Noreste,3.53,182.0,Medio,24.2669,-98.8363,Norte,Teletón (Grupos internos de la Fundación)
2025-04-14 10:10:07,2025-04-14,4,Monday,0,10,Mañana,4,3,3,3,4.0,4,3,4,3,2,4,4,3.5,3.33,3.67,3.25,3.44,6,Medio,9,Promotor,3,Regular,7,Parcialmente informado,1,Nuevo,Teletón (Grupos internos de la Fundación),Asistente,Guerrero,Guerrero,Sur,3.54,79.0,Bajo,17.4392,-99.5451,Sur,Teletón (Grupos internos de la Fundación)
2025-04-14 10:44:14,2025-04-14,4,Monday,0,10,Mañana,4,4,3,4,4.0,4,3,4,4,5,5,4,4.0,3.67,3.67,4.5,3.96,8,Alto,8,Pasivo,3,Regular,8,Bien informado,1,Nuevo,Educación,Asistente,Guerrero,Guerrero,Sur,3.54,79.0,Bajo,17.4392,-99.5451,Sur,Educación
2025-04-14 10:45:41,2025-04-14,4,Monday,0,10,Mañana,5,3,4,3,4.0,4,4,3,4,4,5,4,4.0,3.67,3.67,4.25,3.9,9,Alto,10,Promotor,3,Regular,8,Bien informado,2,Nuevo,Empresa,Gerente,Guerrero,Guerrero,Sur,3.54,79.0,Bajo,17.4392,-99.5451,Sur,Empresa
2025-04-14 11:24:36,2025-04-14,4,Monday,0,11,Mañana,4,3,3,3,4.0,4,3,4,4,5,5,4,3.5,3.33,3.67,4.5,3.75,9,Alto,8,Pasivo,4,Bueno,8,Bien informado,21,Veterano,Persona física,Persona física,Chiapas,Chiapas,Sureste,5.54,58.0,Bajo,16.7569,-93.1292,Sureste,Persona física
2025-04-14 12:36:25,2025-04-14,4,Monday,0,12,Tarde,4,5,3,3,4.0,3,3,3,4,4,4,4,4.5,3.33,3.0,4.0,3.71,8,Alto,8,Pasivo,4,Bueno,8,Bien informado,11,Veterano,Educación,Director,Chiapas,Chiapas,Sureste,5.54,58.0,Bajo,16.7569,-93.1292,Sureste,Educación
2025-04-14 15:21:54,2025-04-14,4,Monday,0,15,Tarde,4,2,3,4,4.0,4,4,4,4,4,5,4,3.0,3.67,4.0,4.25,3.73,8,Alto,8,Pasivo,4,Bueno,8,Bien informado,1,Nuevo,Teletón (Grupos internos de la Fundación),Asistente,Tamaulipas,Tamaulipas,Noreste,3.53,182.0,Medio,24.2669,-98.8363,Norte,Teletón (Grupos internos de la Fundación)
2025-04-14 15:29:10,2025-04-14,4,Monday,0,15,Tarde,3,3,3,3,4.0,4,3,3,4,4,5,4,3.0,3.33,3.33,4.25,3.48,7,Medio,8,Pasivo,3,Regular,7,Parcialmente informado,2,Nuevo,Empresa,Gerente,Querétaro,Querétaro,Bajío,2.37,250.0,Alto,20.5888,-100.3899,Centro,Empresa
2025-04-14 16:09:31,2025-04-14,4,Monday,0,16,Tarde,3,5,4,4,4.0,3,4,4,5,4,5,3,4.0,4.0,3.67,4.25,3.98,8,Alto,8,Pasivo,5,Bueno,9,Bien informado,1,Nuevo,Empresa,Coordinador,Quintana Roo,Quintana Roo,Sureste,1.86,211.0,Alto,19.1817,-88.4791,Sureste,Empresa
2025-04-14 18:02:39,2025-04-14,4,Monday,0,18,Noche,2,4,4,3,4.0,4,4,3,4,4,5,4,3.0,3.67,3.67,4.25,3.65,9,Alto,9,Promotor,3,Regular,8,Bien informado,2,Nuevo,Persona física,Persona física,Sinaloa,Sinaloa,Noroeste,3.03,151.0,Medio,24.8091,-107.394,Norte,Persona física
